Row	chr	starts	ends	strand	ecto	endo	meso	Var8
Vegfc	8	54077532	54186454	1	-7.9764886	-6.498214	-0.63474107	8422
Hand2	8	57320983	57324517	1	-8.225264	-6.746989	0.3560387	8433
Abcc12	8	86580686	86482260	0	-2.8010669	-3.7759647	0.05587106	8688
Cdh11	8	102785111	102632995	0	-0.46138358	-0.018732624	3.5125787	8774
Cdyl2	8	116732991	116568724	0	-3.4367373	-8.450315	-0.17672335	8932
Foxf1a	8	121084474	121086879	1	-7.1517725	-3.9365323	2.4951892	8971
Foxc2	8	121116171	121118892	1	-2.9653351	-4.55745	3.7921238	8973
Fli1	9	32541389	32422208	0	-7.548972	-7.2227	-0.761731	9228
Robo3	9	37433163	37415669	0	-9.823079	-8.344804	-0.28397298	9257
Crabp1	9	54764748	54773110	1	3.6591876	2.3593485	7.1956983	9412
Aph1c	9	66834726	66814994	0	-2.5649636	-4.3551774	0.3989165	9555
Prtg	9	72807274	72917291	1	5.2592716	5.4249315	6.897534	9591
Klhl31	9	77636732	77660118	1	-7.557534	-5.757331	-0.45537063	9622
Ripply2	9	87015537	87019916	1	-1.2748888	-2.118542	4.5445385	9668
Chst2	9	95407270	95400929	0	-0.8818753	-3.6837082	2.4623585	9698
Pcbp4	9	106453838	106464007	1	6.6478915	6.6115937	7.3471594	9787
6230427J02Rik	9	107985879	107984227	0	-0.18638916	-0.11528952	5.078977	9833
Tdgf1	9	110946158	110939610	0	5.3087897	6.4203196	7.18378	9917
Rspo3	10	29535867	29453109	0	2.4312172	3.1976497	5.492305	10162
Sult3a1	10	33863935	33879475	1	-7.1312504	-5.6529756	-0.24799062	10174
Nepn	10	52388972	52404607	1	-3.8117518	-6.572943	0.030513579	10260
Fgf22	10	79755119	79756961	1	-4.29593	-4.5546203	-0.6836141	10451
Hcfc2	10	82696160	82742428	1	-3.101691	-2.7202775	0.48820204	10565
Alx1	10	103029051	103007847	0	-1.2955449	-2.5334768	4.1004095	10665
Gm239	10	116896879	116776545	0	-3.2663527	-2.3185923	2.2367342	10710
Hmga2	10	120476469	120361275	0	4.491868	5.119724	6.4005556	10736
Myl7	11	5898782	5896637	0	4.2189145	4.0979915	8.289522	10912
Rel	11	23770970	23741514	0	-2.00558	-6.9196224	0.97763073	10985
Sep-08	11	53519257	53549565	1	0.7149025	1.126976	3.2790935	11147
Pdlim4	11	54069014	54054928	0	1.976423	0.6848788	4.1152945	11157
Hand1	11	57832818	57828705	0	1.0199171	-5.432545	4.572053	11186
Mfap4	11	61485431	61488900	1	1.7591158	0.89880514	3.4010284	11255
Pmp22	11	63128982	63159547	1	0.8031845	1.8537369	5.7785153	11283
Gp1ba	11	70639122	70642036	1	-4.2680683	-7.029259	-0.28788835	11409
Col1a1	11	94936224	94953042	1	-4.6273413	-8.301069	-0.77423435	11717
Hoxb6	11	96292476	96301569	1	-6.3818297	-6.6405206	-0.6609896	11750
Hoxb2	11	96351632	96355689	1	-1.1294048	-7.3109274	3.7028239	11754
Hoxb1	11	96365752	96368256	1	2.5918906	2.9829164	6.0927367	11755
Igfbp4	11	99041244	99054392	1	2.0780585	1.8509092	4.1314197	11825
Tns4	11	99089306	99065678	0	-1.2108501	-2.1893277	1.8392832	11826
Arl4d	11	101665541	101667832	1	0.6202566	1.238083	4.7751207	11938
Pecam1	11	106750628	106654217	0	-6.7000837	-7.69574	-0.4496944	12031
